자하, 66, 184
마나, 99, 165
가다, 50, 171
아마, 62, 158
나가, 76, 145
아자, 89, 195
가자, 92, 182
마자, 76, 175
마가, 42, 161
카타, 90, 167
자바, 63, 170
타다, 89, 141
타차, 97, 166
파하, 77, 170
나타, 47, 182
타카, 67, 150
마다, 66, 149
아아, 91, 166
자카, 49, 167
차아, 89, 145
하파, 96, 146
하차, 64, 167
타자, 58, 141
파나, 83, 196
나바, 78, 158
라가, 76, 181
아사, 40, 195
사하, 87, 172
차파, 96, 187
카다, 96, 165
나바, 40, 188
카하, 61, 165
가라, 99, 145
아타, 43, 166
마카, 93, 195
다마, 47, 168
마다, 77, 170
나사, 89, 158
파마, 48, 196
하차, 96, 195
마나, 71, 179
카자, 75, 166
아파, 48, 172
파파, 47, 198
마자, 72, 147
다가, 70, 173
자아, 71, 178
다나, 94, 168
카나, 41, 164
자라, 95, 186
나차, 91, 161
나사, 91, 142
타마, 99, 153
나차, 70, 176
하아, 89, 145
파나, 80, 148
사아, 95, 147
자마, 71, 157
다바, 62, 191
라사, 56, 193
나가, 92, 186
바바, 89, 182
타아, 97, 197
하파, 43, 184
자가, 50, 166
나사, 89, 149
아차, 58, 190
아가, 96, 149
라자, 47, 150
나마, 85, 195
나라, 76, 177
라나, 64, 191
바차, 66, 174
파마, 94, 170
마하, 69, 185
마사, 58, 161
나아, 82, 152
자라, 40, 188
마카, 80, 180
사다, 45, 192
다가, 59, 169
라다, 84, 194
타가, 80, 149
바다, 69, 152
바아, 48, 173
마가, 92, 170
차타, 62, 145
타자, 63, 162
카카, 74, 163
자다, 55, 182
가마, 51, 199
아나, 79, 192
자차, 52, 140
카하, 54, 149
아하, 77, 141
나카, 92, 144
카타, 48, 152
차타, 71, 174
자라, 83, 164
아하, 83, 175
차가, 76, 182
마타, 90, 162
라나, 53, 198
카사, 95, 196
자아, 61, 144
카사, 88, 182
타하, 50, 153
마차, 88, 149
바카, 75, 189
나마, 79, 154
차사, 68, 170
차자, 80, 156
차다, 50, 157
마가, 77, 179
가나, 67, 164
나마, 61, 192
하마, 80, 151
사하, 53, 190
아바, 78, 143
마가, 78, 186
마사, 83, 160
차타, 48, 155
파사, 64, 193
파하, 72, 175
파마, 48, 181
카가, 57, 184
마라, 97, 199
파타, 85, 183
파다, 73, 176
라사, 41, 165
다타, 52, 157
나사, 92, 189
카타, 81, 190
다아, 76, 144
자마, 67, 184
사사, 73, 142
아하, 81, 197
자자, 82, 170
하아, 73, 141
다카, 48, 144
라사, 89, 170
아차, 68, 160
다사, 79, 184
차다, 85, 199
사하, 58, 153
차라, 98, 153
바마, 87, 143
파하, 54, 173
바라, 99, 151
나마, 60, 187
아하, 68, 181
파라, 92, 171
카다, 72, 186
다마, 42, 185
가나, 99, 140
하다, 68, 148
아하, 58, 161
가하, 47, 159
자마, 46, 194
자바, 85, 184
차가, 83, 191
바아, 84, 156
아다, 45, 159
차마, 86, 194
라나, 97, 199
라나, 54, 174
카자, 56, 175
바타, 52, 165
아마, 50, 169
다타, 76, 189
라사, 90, 171
마아, 71, 179
사라, 54, 153
자가, 51, 180
하자, 40, 148
하바, 40, 196
가나, 56, 154
타자, 81, 170
자차, 56, 147
라파, 63, 154
마아, 84, 144
바하, 46, 195
타자, 74, 157
아바, 80, 140
아차, 42, 144
타가, 85, 175
차차, 40, 177
나가, 99, 175
나아, 70, 151
마다, 80, 148
아아, 54, 156
차사, 74, 182
차하, 54, 159
나카, 59, 195
